name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,start_date,end_date
FRANCHISE (feat. Young Thug & M.I.A.),FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,2020-09-25,202794,84,0.835,0.00671,0.835,0.699,0.0,0.195,-5.405,0.277,154.981,4,2020-10-02,2020-10-09
Mood Swings (feat. Lil Tjay),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,213333,89,0.48,0.487,0.48,0.602,0.0,0.0848,-6.335,0.368,179.798,4,2020-10-02,2020-10-09
Martin & Gina,THE GOAT,Polo G,2020-05-15,132832,87,0.832,0.345,0.832,0.534,0.0,0.165,-7.813,0.253,93.924,4,2020-10-02,2020-10-09
Brand New Draco,SAVAGE MODE II,21 Savage,2020-10-02,202420,71,0.697,0.041,0.697,0.709,0.000296,0.0886,-6.642,0.298,155.023,4,2020-10-02,2020-10-09
My Dawg,SAVAGE MODE II,21 Savage,2020-10-02,181715,71,0.831,0.0652,0.831,0.532,0.0,0.464,-5.319,0.301,140.105,4,2020-10-02,2020-10-09
Snitches & Rats (feat. Young Nudy),SAVAGE MODE II,21 Savage,2020-10-02,187772,69,0.821,0.00843,0.821,0.671,8.5e-05,0.0972,-5.893,0.18,145.953,4,2020-10-02,2020-10-09
24 (feat. Lil Baby),Epidemic (Deluxe),Money Man,2020-08-21,182857,75,0.868,0.146,0.868,0.638,0.0565,0.0931,-7.746,0.0736,126.03,4,2020-10-02,2020-10-09
forget me too (feat. Halsey),Tickets To My Downfall,Machine Gun Kelly,2020-09-25,171620,81,0.654,0.000417,0.654,0.875,0.0086,0.194,-4.845,0.0744,99.975,4,2020-10-02,2020-10-09
Wolves (feat. Post Malone),Detroit 2,Big Sean,2020-09-04,199758,85,0.724,0.0978,0.724,0.675,9.41e-06,0.351,-5.267,0.0867,160.048,4,2020-10-02,2020-10-09
Go Crazy,Slime & B,Chris Brown,2020-05-08,176960,88,0.755,0.316,0.755,0.578,0.0,0.25,-8.932,0.145,94.148,4,2020-10-02,2020-10-09
Smile (with The Weeknd),Legends Never Die,Juice WRLD,2020-07-10,196180,84,0.694,0.224,0.694,0.685,0.0,0.124,-6.535,0.133,158.831,4,2020-10-02,2020-10-09
DOLLAZ ON MY HEAD (feat. Young Thug),WUNNA,Gunna,2020-05-22,197760,83,0.825,0.114,0.825,0.458,0.0,0.102,-7.47,0.0577,145.115,4,2020-10-02,2020-10-09
Be Like That - feat. Swae Lee & Khalid,Be Like That (feat. Swae Lee & Khalid),Kane Brown,2020-07-10,191406,85,0.727,0.0469,0.727,0.626,2.58e-05,0.126,-8.415,0.0726,86.97,4,2020-10-02,2020-10-09
No Opp Left Behind,SAVAGE MODE II,21 Savage,2020-10-02,194214,70,0.823,0.0161,0.823,0.703,1.35e-06,0.294,-2.691,0.298,178.043,4,2020-10-02,2020-10-09
Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,2018-12-10,239835,89,0.511,0.349,0.511,0.566,0.0,0.34,-7.23,0.2,83.903,4,2020-10-02,2020-10-09
Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,2019-09-13,176218,76,0.785,0.0149,0.785,0.721,0.00432,0.285,-5.457,0.0506,121.962,4,2020-10-02,2020-10-09
Robbery,Death Race For Love,Juice WRLD,2019-03-08,240050,89,0.685,0.328,0.685,0.692,0.0,0.153,-5.122,0.0457,159.966,5,2020-10-02,2020-10-09
All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD,2018-12-10,165819,88,0.671,0.0769,0.671,0.529,0.000335,0.0856,-7.226,0.307,161.989,4,2020-10-02,2020-10-09
Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,90,0.695,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4,2020-10-02,2020-10-09
Steppin On Niggas,SAVAGE MODE II,21 Savage,2020-10-02,140832,68,0.849,0.000608,0.849,0.635,8.44e-06,0.062,-4.068,0.254,89.484,4,2020-10-02,2020-10-09
Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],Internet Money,2020-09-30,181495,78,0.832,0.168,0.832,0.549,0.0,0.11,-8.259,0.0602,140.045,4,2020-10-02,2020-10-09
Snitches & Rats (Interlude),SAVAGE MODE II,21 Savage,2020-10-02,57073,65,0.607,0.742,0.607,0.371,0.000164,0.403,-14.255,0.894,102.481,3,2020-10-02,2020-10-09
RIP Luv,SAVAGE MODE II,21 Savage,2020-10-02,214192,70,0.63,0.105,0.63,0.399,0.174,0.234,-9.869,0.178,183.016,3,2020-10-02,2020-10-09
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,2019-12-06,196652,90,0.896,0.104,0.896,0.586,0.0,0.79,-6.687,0.0559,116.971,4,2020-10-02,2020-10-09
The Woo (feat. 50 Cent & Roddy Ricch),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,201600,87,0.49,0.0221,0.49,0.618,3.77e-06,0.259,-5.655,0.104,99.7,4,2020-10-02,2020-10-09
Don’t Stop (feat. Young Thug),Don’t Stop (feat. Young Thug),Megan Thee Stallion,2020-10-02,187940,75,0.933,0.00184,0.933,0.757,0.0,0.135,-3.212,0.117,137.993,4,2020-10-02,2020-10-09
Sofia,Immunity,Clairo,2019-08-02,188386,90,0.744,0.598,0.744,0.619,0.00372,0.231,-9.805,0.039,112.997,4,2020-10-02,2020-10-09
Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,2019-09-06,157560,83,0.755,0.533,0.755,0.522,0.0,0.0685,-4.368,0.0575,89.96,4,2020-10-02,2020-10-09
Said N Done,SAVAGE MODE II,21 Savage,2020-10-02,231831,70,0.775,0.0381,0.775,0.566,0.000341,0.127,-6.661,0.283,160.351,4,2020-10-02,2020-10-09
7 Summers,7 Summers,Morgan Wallen,2020-08-14,210122,82,0.457,0.428,0.457,0.774,4.29e-05,0.119,-5.201,0.0336,203.863,4,2020-10-02,2020-10-09
Ice Cream (with Selena Gomez),THE ALBUM,BLACKPINK,2020-10-02,175813,80,0.785,0.0374,0.785,0.719,0.000108,0.0519,-3.886,0.354,159.953,4,2020-10-02,2020-10-09
