name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,start_date,end_date
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,113013,8,0.908,0.0361,0.908,0.517,1.73E-06,0.0949,-6.063,0.129,136.019,4,3/29/2019,4/5/2019
wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,221543,81,0.853,0.39,0.853,0.351,9.38E-06,0.752,-10.198,0.241,118.028,4,3/29/2019,4/5/2019
bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,193143,81,0.905,0.74,0.905,0.389,0.162,0.106,-14.505,0.332,120.046,4,3/29/2019,4/5/2019
when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,196077,87,0.367,0.978,0.367,0.111,3.97E-05,0.0897,-14.084,0.0972,82.642,4,3/29/2019,4/5/2019
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,12/14/2018,158040,86,0.76,0.556,0.76,0.479,0,0.0703,-5.574,0.0466,89.911,4,3/29/2019,4/5/2019
xanny,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,243725,78,0.521,0.751,0.521,0.125,0.00207,0.265,-17.832,0.239,111.554,4,3/29/2019,4/5/2019
all the good girls go to hell,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,168839,80,0.726,0.283,0.726,0.444,0.143,0.177,-8.922,0.372,185.044,4,3/29/2019,4/5/2019
MIDDLE CHILD,MIDDLE CHILD,J. Cole,1/23/2019,213593,83,0.837,0.149,0.837,0.364,0,0.271,-11.713,0.276,123.984,4,3/29/2019,4/5/2019
my strange addiction,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,179889,78,0.939,0.35,0.939,0.305,0.000169,0.105,-10.952,0.354,100.029,4,3/29/2019,4/5/2019
Old Town Road (feat. Billy Ray Cyrus) - Remix,Old Town Road,Lil Nas X,4/5/2019,157066,11,0.878,0.0533,0.878,0.619,0,0.113,-5.56,0.102,136.041,4,4/5/2019,4/12/2019
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,113013,8,0.908,0.0361,0.908,0.517,1.73E-06,0.0949,-6.063,0.129,136.019,4,4/5/2019,4/12/2019
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,194087,89,0.701,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,4,4/5/2019,4/12/2019
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,12/14/2018,158040,86,0.76,0.556,0.76,0.479,0,0.0703,-5.574,0.0466,89.911,4,4/5/2019,4/12/2019
wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,221543,81,0.853,0.39,0.853,0.351,9.38E-06,0.752,-10.198,0.241,118.028,4,4/5/2019,4/12/2019
MIDDLE CHILD,MIDDLE CHILD,J. Cole,1/23/2019,213593,83,0.837,0.149,0.837,0.364,0,0.271,-11.713,0.276,123.984,4,4/5/2019,4/12/2019
Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,12/21/2018,189486,81,0.581,0.0153,0.581,0.662,0,0.111,-5.239,0.303,93.023,4,4/5/2019,4/12/2019
Talk (feat. Disclosure),Free Spirit,Khalid,4/5/2019,197573,76,0.901,0.051,0.901,0.4,0,0.0599,-8.575,0.126,135.984,4,4/5/2019,4/12/2019
Outta My Head (with John Mayer),Free Spirit,Khalid,4/5/2019,177066,70,0.729,0.0174,0.729,0.545,0.000274,0.369,-7.818,0.0316,103.012,4,4/5/2019,4/12/2019
