name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,start_date,end_date
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,2019-12-06,196652,90,0.896,0.104,0.896,0.586,0.0,0.79,-6.687,0.0559,116.971,4,2020-01-03,2020-01-10
ROXANNE,ROXANNE,Arizona Zervas,2019-10-10,163636,88,0.621,0.0522,0.621,0.601,0.0,0.46,-5.616,0.148,116.735,5,2020-01-03,2020-01-10
Yummy,Yummy,Justin Bieber,2020-01-03,210426,79,0.687,0.366,0.687,0.514,0.0,0.116,-6.612,0.0897,145.921,4,2020-01-03,2020-01-10
Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,90,0.695,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4,2020-01-03,2020-01-10
BOP,KIRK,DaBaby,2019-09-27,159714,85,0.769,0.189,0.769,0.787,0.0,0.129,-3.909,0.367,126.77,4,2020-01-03,2020-01-10
Falling,Falling,Trevor Daniel,2018-10-05,159381,87,0.785,0.123,0.785,0.431,0.0,0.0887,-8.756,0.0364,127.085,4,2020-01-03,2020-01-10
Dance Monkey,Dance Monkey,Tones And I,2019-05-10,209754,71,0.825,0.688,0.825,0.593,0.000161,0.17,-6.401,0.0988,98.078,4,2020-01-03,2020-01-10
Bandit (with YoungBoy Never Broke Again),Bandit (with YoungBoy Never Broke Again),Juice WRLD,2019-10-04,189322,85,0.474,0.0687,0.474,0.631,0.0,0.132,-5.884,0.343,180.051,4,2020-01-03,2020-01-10
Futsal Shuffle 2020,Futsal Shuffle 2020,Lil Uzi Vert,2019-12-12,198912,73,0.881,0.0327,0.881,0.457,0.0,0.231,-8.191,0.156,136.97,4,2020-01-03,2020-01-10
everything i wanted,everything i wanted,Billie Eilish,2019-11-13,245425,88,0.704,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,120.006,4,2020-01-03,2020-01-10
Ballin' (with Roddy Ricch),Perfect Ten,Mustard,2019-06-28,180434,85,0.809,0.392,0.809,0.545,0.0,0.151,-6.678,0.0735,97.008,4,2020-01-03,2020-01-10
Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,201573,26,0.513,0.00147,0.513,0.796,0.000209,0.0938,-4.075,0.0629,171.017,4,2020-01-03,2020-01-10
Adore You,Fine Line,Harry Styles,2019-12-13,207133,88,0.676,0.0237,0.676,0.771,7e-06,0.102,-3.675,0.0483,99.048,4,2020-01-03,2020-01-10
Suicidal,Melly vs. Melvin,YNW Melly,2019-11-22,222997,81,0.735,0.334,0.735,0.369,0.0,0.126,-9.682,0.0688,140.004,4,2020-01-03,2020-01-10
My Oh My (feat. DaBaby),Romance,Camila Cabello,2019-12-06,170746,82,0.724,0.018,0.724,0.491,1.29e-05,0.0887,-6.024,0.0296,105.046,4,2020-01-03,2020-01-10
Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,183290,87,0.794,0.0125,0.794,0.793,0.0,0.0952,-4.521,0.0842,123.941,4,2020-01-03,2020-01-10
No Idea,No Idea,Don Toliver,2019-05-29,154424,9,0.651,0.519,0.651,0.631,0.000579,0.165,-5.717,0.0896,127.994,4,2020-01-03,2020-01-10
hot girl bummer,hot girl bummer,blackbear,2019-08-23,185093,46,0.778,0.128,0.778,0.559,0.0,0.399,-7.109,0.0776,129.989,1,2020-01-03,2020-01-10
VIBEZ,KIRK,DaBaby,2019-09-27,144935,79,0.768,0.113,0.768,0.652,0.0,0.107,-2.708,0.307,154.187,4,2020-01-03,2020-01-10
Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,93,0.548,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,95.39,4,2020-01-03,2020-01-10
Heartless,Heartless,The Weeknd,2019-11-27,200080,11,0.531,0.00632,0.531,0.75,7.6e-05,0.117,-5.831,0.111,169.954,4,2020-01-03,2020-01-10
OUT WEST (feat. Young Thug),JACKBOYS,JACKBOYS,2019-12-27,157712,84,0.802,0.0104,0.802,0.591,0.0,0.196,-4.895,0.225,139.864,4,2020-01-03,2020-01-10
Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,2019-09-06,157560,83,0.755,0.533,0.755,0.522,0.0,0.0685,-4.368,0.0575,89.96,4,2020-01-03,2020-01-10
HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,2019-10-04,175720,89,0.598,0.0546,0.598,0.427,5.83e-06,0.21,-8.764,0.0317,76.469,4,2020-01-03,2020-01-10
Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,91,0.501,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,109.891,4,2020-01-03,2020-01-10
Woah,Woah,Lil Baby,2019-11-08,183011,74,0.882,0.0177,0.882,0.602,0.0,0.178,-5.554,0.245,142.959,4,2020-01-03,2020-01-10
Memories,Memories,Maroon 5,2019-09-20,189486,90,0.764,0.837,0.764,0.32,0.0,0.0822,-7.209,0.0546,91.019,4,2020-01-03,2020-01-10
Lose You To Love Me,Lose You To Love Me,Selena Gomez,2019-10-23,206458,18,0.505,0.576,0.505,0.34,0.0,0.21,-9.005,0.0438,101.993,4,2020-01-03,2020-01-10
SUGAR,GINGER,BROCKHAMPTON,2019-08-23,204533,82,0.453,0.449,0.453,0.538,0.0,0.19,-8.212,0.0638,122.973,4,2020-01-03,2020-01-10
Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,2018-12-10,239835,89,0.511,0.349,0.511,0.566,0.0,0.34,-7.23,0.2,83.903,4,2020-01-03,2020-01-10
Suge,Baby On Baby,DaBaby,2019-03-01,163320,80,0.876,0.0608,0.876,0.662,0.0,0.127,-6.482,0.426,75.445,4,2020-01-03,2020-01-10
Say So,Hot Pink,Doja Cat,2019-11-07,237893,87,0.787,0.256,0.787,0.673,3.57e-06,0.0904,-4.577,0.158,110.962,4,2020-01-03,2020-01-10
