name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,start_date,end_date
Wow.,Wow.,Post Malone,2018-12-24,149520,18,0.833,0.163,0.833,0.539,2.1e-06,0.101,-7.399,0.178,99.947,4,2019-02-01,2019-02-08
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,158040,86,0.76,0.556,0.76,0.479,0.0,0.0703,-5.574,0.0466,89.911,4,2019-02-01,2019-02-08
Going Bad (feat. Drake),Championships,Meek Mill,2018-11-30,180522,82,0.889,0.259,0.889,0.496,0.0,0.252,-6.365,0.0905,86.003,4,2019-02-01,2019-02-08
a lot,i am > i was,21 Savage,2018-12-21,288624,80,0.837,0.0395,0.837,0.636,0.00125,0.342,-7.643,0.086,145.972,4,2019-02-01,2019-02-08
SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,312820,88,0.834,0.00513,0.834,0.73,0.0,0.124,-3.714,0.222,155.008,4,2019-02-01,2019-02-08
Drip Too Hard (Lil Baby & Gunna),Drip Harder,Lil Baby,2018-10-05,145542,83,0.897,0.0852,0.897,0.662,0.0,0.534,-6.903,0.292,112.511,4,2019-02-01,2019-02-08
Look Back at It,Hoodie SZN,A Boogie Wit da Hoodie,2018-12-21,179449,77,0.791,0.407,0.791,0.587,0.0,0.148,-5.075,0.0413,96.057,4,2019-02-01,2019-02-08
"break up with your girlfriend, i'm bored","thank u, next",Ariana Grande,2019-02-08,190440,80,0.726,0.0421,0.726,0.554,0.0,0.106,-5.29,0.0917,169.999,4,2019-02-08,2019-02-15
7 rings,"thank u, next",Ariana Grande,2019-02-08,178626,87,0.778,0.592,0.778,0.317,0.0,0.0881,-10.732,0.334,140.048,4,2019-02-08,2019-02-15
NASA,"thank u, next",Ariana Grande,2018-02-07,182000,53,0.737,0.447,0.737,0.461,0.0,0.268,-6.887,0.293,75.005,4,2019-02-08,2019-02-15
needy,"thank u, next",Ariana Grande,2019-02-08,171573,75,0.647,0.78,0.647,0.309,7.41e-06,0.202,-7.948,0.0366,87.045,4,2019-02-08,2019-02-15
bad idea,"thank u, next",Ariana Grande,2018-02-07,267106,49,0.847,0.0276,0.847,0.58,0.0548,0.1,-5.316,0.0723,137.995,4,2019-02-08,2019-02-15
bloodline,"thank u, next",Ariana Grande,2019-02-08,216893,72,0.758,0.0815,0.758,0.665,0.000157,0.216,-5.188,0.0774,151.976,4,2019-02-08,2019-02-15
"thank u, next","thank u, next",Ariana Grande,2019-02-08,207320,85,0.717,0.229,0.717,0.653,0.0,0.101,-5.634,0.0658,106.966,4,2019-02-08,2019-02-15
fake smile,"thank u, next",Ariana Grande,2019-02-08,208880,71,0.45,0.329,0.45,0.619,0.0,0.319,-7.412,0.372,83.3,4,2019-02-08,2019-02-15
ghostin,"thank u, next",Ariana Grande,2018-02-07,271466,56,0.396,0.422,0.396,0.358,1.71e-05,0.19,-8.294,0.0292,103.807,4,2019-02-08,2019-02-15
Wow.,Wow.,Post Malone,2018-12-24,149520,18,0.833,0.163,0.833,0.539,2.1e-06,0.101,-7.399,0.178,99.947,4,2019-02-08,2019-02-15
7 rings,"thank u, next",Ariana Grande,2019-02-08,178626,87,0.778,0.592,0.778,0.317,0.0,0.0881,-10.732,0.334,140.048,4,2019-02-15,2019-02-22
"break up with your girlfriend, i'm bored","thank u, next",Ariana Grande,2019-02-08,190440,80,0.726,0.0421,0.726,0.554,0.0,0.106,-5.29,0.0917,169.999,4,2019-02-15,2019-02-22
MIDDLE CHILD,MIDDLE CHILD,J. Cole,2019-01-23,213593,83,0.837,0.149,0.837,0.364,0.0,0.271,-11.713,0.276,123.984,4,2019-02-15,2019-02-22
Wow.,Wow.,Post Malone,2018-12-24,149520,18,0.833,0.163,0.833,0.539,2.1e-06,0.101,-7.399,0.178,99.947,4,2019-02-15,2019-02-22
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,158040,86,0.76,0.556,0.76,0.479,0.0,0.0703,-5.574,0.0466,89.911,4,2019-02-15,2019-02-22
Robbery,Robbery,Juice WRLD,2019-02-13,240527,0,0.708,0.342,0.708,0.691,0.0,0.222,-5.179,0.0442,79.99,4,2019-02-15,2019-02-22
Going Bad (feat. Drake),Championships,Meek Mill,2018-11-30,180522,82,0.889,0.259,0.889,0.496,0.0,0.252,-6.365,0.0905,86.003,4,2019-02-15,2019-02-22
a lot,i am > i was,21 Savage,2018-12-21,288624,80,0.837,0.0395,0.837,0.636,0.00125,0.342,-7.643,0.086,145.972,4,2019-02-15,2019-02-22
Thotiana,Famous Cryp,Blueface,2018-12-18,129264,37,0.906,0.18,0.906,0.382,0.0,0.113,-12.89,0.269,104.025,4,2019-02-15,2019-02-22
"thank u, next","thank u, next",Ariana Grande,2019-02-08,207320,85,0.717,0.229,0.717,0.653,0.0,0.101,-5.634,0.0658,106.966,4,2019-02-15,2019-02-22
7 rings,"thank u, next",Ariana Grande,2019-02-08,178626,87,0.778,0.592,0.778,0.317,0.0,0.0881,-10.732,0.334,140.048,4,2019-02-22,2019-03-01
"break up with your girlfriend, i'm bored","thank u, next",Ariana Grande,2019-02-08,190440,80,0.726,0.0421,0.726,0.554,0.0,0.106,-5.29,0.0917,169.999,4,2019-02-22,2019-03-01
MIDDLE CHILD,MIDDLE CHILD,J. Cole,2019-01-23,213593,83,0.837,0.149,0.837,0.364,0.0,0.271,-11.713,0.276,123.984,4,2019-02-22,2019-03-01
Wow.,Wow.,Post Malone,2018-12-24,149520,18,0.833,0.163,0.833,0.539,2.1e-06,0.101,-7.399,0.178,99.947,4,2019-02-22,2019-03-01
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Deluxe Edition / Soundtrack From & Inspired By The Motion Picture),Various Artists,2019-02-22,158040,56,0.761,0.552,0.761,0.479,0.0,0.0704,-5.574,0.0466,89.913,4,2019-02-22,2019-03-01
Murder On My Mind,I AM YOU,YNW Melly,2018-08-03,268434,83,0.759,0.145,0.759,0.73,3.06e-06,0.11,-7.985,0.0516,115.007,4,2019-02-22,2019-03-01
Robbery,Robbery,Juice WRLD,2019-02-13,240527,0,0.708,0.342,0.708,0.691,0.0,0.222,-5.179,0.0442,79.99,4,2019-02-22,2019-03-01
